여행지,일치여부,다른 칸에 존재여부
월드컵공원,X,3
대한민국 국회의사당과 헌정기념관,X,3
암사동 선사주거지,X,2
화성,X,2
안양 예술공원,X,1
부천 활박물관과 궁도장,X,1
대부도,X,2
국립현대미술관(과천관),X,2
파주 프로방스,X,1
설봉공원,X,0
세계도자센터,X,0
청룡사,X,0
융ㆍ건릉,X,1
용궁사,X,6
산사원,X,3
운악산과 현등사,X,0
자라섬 국제재즈페스티벌,X,0
자유공원,X,1
정암사,X,0
통일전망대,X,1
탄금대,X,3
독립기념관,X,2
공산성,X,2
무령왕릉,X,2
충청수영성,X,2
천주교 대전교구 공세리성당,X,2
그림이 있는 정원,X,5
십리포 해수욕장,X,1
팜카밀레 허브농원,X,2
천주교 전주교구 전동성당,X,2
한벽당,X,6
대둔산,X,4
"무주 구천동계곡 방화동 가족휴양촌,",X,2
마이산 도립공원,X,5
순천 드라마세트장 ,X,1
순천만 갈대밭,X,2
지리산 산수유마을,X,3
"벌교 홍교, 대한다원",X,8
봇재다원,X,8
용천사,X,2
계림,X,2
금오산,X,2
빙계계곡,X,2
군위 삼존석굴,X,2
주남저수지,X,2
청곡사,X,2
달아공원,X,6
항공우주박물관,X,3
창녕 석빙고,X,3
고성 탈박물관,X,2
임진성,X,2
다랑쉬오름,X,2
약천사,X,2
제주 올레,X,2
천제연폭포,X,3
