,리뷰
0,암사동 선사주거지-->신석기 시대를 체험할 수 있다
1,"암사동 선사주거지-->교과서에서만 보던 선사 유적지이다. 서울 외곽에 위치해 있어서 대중됴통을 이용하기 어렵다. 작은 박물관과 실외 움막, 집 터를 볼 수 있다. 활쏘기, 토기 만들기 체험도 가능하다. 꼭 역사유적 뿐 아니라 산책 겸 방문해도 좋다. 아이와 함께 교육목적도 좋다."
2,암사동 선사주거지-->유적지
3,암사동 선사주거지-->아이들과 함께 하거나 어르신들 모시고 나들이 가기 좋은 곳이네요. 온 가족이 가족 나들이 하기에 좋습니다. 암사동 주변에 음식점도 많아서 좋아요
4,암사동 선사주거지-->아이들 봉사활동할 꺼리도 있ㄱ
5,암사동 선사주거지-->아이들 어릴 적부터 가끔 가는 곳서울에유적지가 있다는 걸 교과서로 배우고직접 가보니 신기신기가을엔 체험꺼리도 꽤 있고아이들과 간단 나들이 코스로 굿
6,암사동 선사주거지-->암사동 선사시대 유적지 체험
7,암사동 선사주거지-->선사시대  움막집 과 빗살무늬토기 출토품을 보고  어린이 도자기 무늬 넣기 체험을 딸 아이와  같이 했다.  넓은 공간에  아기자기한 전시가 좋았고 초등생 대상의 현장 체험 학습 그룹이 많았다.더운 날씨에도 바람이 시원하게 부는 곳이다.이곳이 선사시대의 마을인 점을 고려하면 암사동 현장이 명당터이긴 한가보다.가족과 함께 나들이 하면서 선사시대 마을 모습을 볼 수있는 좋은 공간과 장소이다. 강추. 2시간  소요. 적당합니다
8,암사동 선사주거지-->아이들과 방문하기 좋은 곳.
9,"암사동 선사주거지-->실내박물관과 실외유적지가 있었다. 석기시대애 대하여 잘 알 수 있게 안내가 잘 되어 있었다.체험장에서는 만원 내외의 금액으로 빗갈무늬 토기, 활 등을 만들어보는 체험을 할 수 있었다.또한 공원으로 유적지가 구성되어 있어 산책할 수 있었고 도토리를 모으는 다람쥐도 많이 볼 수 있었다."
10,화성-->🇰🇷
11,화성-->역사 공부 히러 가기엔 좋음 근데 가기전에 엄마아빠가 공부를 좀 해주고 가면 더 좋음 엄마아빠가 가이드겸 알려주면 애들이 좋아함
12,화성-->가족과 잠깐 산책하기 좋은 곳
13,화성-->수원의 대표적인 관광명소로 평지에 있어 연로하신 분이나 어린이도 함께 둘러보기 좋은 곳입니다.(망루는 언덕으로 좀 올라가야 합니다.) 시설은 좀 낡은 편이지만 그 나름 정감있습니다.
14,화성-->도심의 휴식처
15,"화성-->옛날 왕들의 호텔? 리조트? 라고 해야 하나,,,여튼 자주 묵어갔던 곳이라 하니 한번더 보게되고, 도심에서 산책하기도 좋은 것 같음"
16,화성-->야간개장(night tour)한번 가봅시다~
17,"화성-->종종 행사도 하고 여름에는 야간개장도 진행하고 있네요. 주변에 푸드트럭이나 마켓도 어우러져 있어 볼거리가 쏠쏠하네요 ㅎ 옆에는 아이파크미술관도 있어서 낮에는 미술관, 밤에는 행궁 야간개장할 때 구경해보시면 좋을 거 같습니다. 주차는 능력껏~"
18,화성-->가족과 함께 꼭!
19,화성-->아이들과 함께 꼭 갔으면 좋겠다! 행궁을 구경하고나서 행궁 앞에 넓은 터에서 자전거나 킥보드 등을 타는 아이들도 많다. 종종 행궁터에서 행사가 열리는데 아이들과 함께하기 좋은 다양한 체험거리도 있다. 날짜를 맞추어 가면 좋을 것 같다.
20,화성-->수원의 대표 장소
