여행지,일치여부,다른 칸에 존재여부
경복궁,O,
삼청동 거리,O,
인사동,O,
조계사,O,
청와대,O,
보신각,O,
이화장,X,X
국립민속박물관,O,
사직단,O,
경교장,O,
탑골공원,O,
대학로,X,X
인왕산 선바위와 국사당,O,
종묘,O,
서울역사박물관,O,
창경궁,O,
창덕궁,O,
북촌한옥마을,O,
동대문시장,O,
운현궁,O,
낙산공원,O,
명동성당,O,
청계천,O,
덕수궁,O,
정동길,X,X
남대문시장,O,
서울광장,O,
한국은행 화폐금융박물관,O,
숭례문,O,
농업박물관,O,
남산골 한옥마을,O,
명동,O,
남산과 N서울타워,O,
삼성미술관 리움,O,
국립중앙박물관,O,
전쟁기념관,O,
이슬람사원,X,X
홍릉수목원,O,
아차산북한산국립공원,O,
이화벽화마을,O,
한강시민공원,O,
서울숲,O,
세종대왕기념관,O,
서울 약령시장,O,
길상사,O,
최순우 옛집,X,X
북악산 서울 한양도성,O,
도봉산,O,
태릉,O,
독립문,O,
서대문형무소,O,
월드컵공원,X,2
절두산 순교성지와 양화진외국인선교사묘원,O,
대한민국 국회의사당과 헌정기념관,X,3
선유도공원,O,
여의도공원,O,
63스퀘어,O,
국립서울현충원,O,
관악산,O,
헌인릉,O,
봉은사,O,
코엑스몰,X,X
롯데월드,O,
방이동 백제 고분군,O,
몽촌토성,O,
올림픽공원,O,
암사동 선사주거지,X,2
동대문디자인플라자,O,
국립현대미술관(서울관),O,
화성,X,2
안양 예술공원,X,4
만안교,X,X
삼막사,X,X
병목안시민공원,X,X
아인스월드,O,
부천 수석박물관,X,X
부천 물박물관,O,
부천자연생태박물관과 식물원,O,
로보파크,O,
유럽자기박물관,O,
부천 교육박물관,X,X
부천 활박물관과 궁도장,X,2
한국만화박물관,O,
원당 허브랜드,O,
대부도,X,2
행주산성,O,
밤가시초가,X,X
서삼릉,O,
원당 종마목장,O,
일산 호수공원,O,
중남미문화원,X,X
테마동물원ZooZoo,X,X
서울대공원,O,
렛츠런파크,X,X
국립현대미술관(과천관),X,2
국립과천과학관,O,
정약용 생가와 묘소,O,
몽골문화촌,X,X
축령산,O,
수종사,O,
남양주종합촬영소,X,X
동구릉,O,
경기도립 물향기수목원,O,
옥구도 도시자연공원,X,X
오이도,X,X
미사리 조정경기장,X,X
철도박물관,O,
와우정사,O,
세중박물관,O,
한택식물원,O,
에버랜드,O,
삼성화재 교통박물관,O,
호암미술관,O,
한국민속촌,O,
경기도박물관,X,X
헤이리 문화예술마을,O,
임진각 평화누리,O,
반구정,X,X
장단콩마을과 장단콩 전시관,X,X
자운서원,X,X
파주 프로방스,X,8
오두산 통일전망대,O,
해강 도자미술관,O,
설봉공원,X,4
세계도자센터,X,2
영월암,X,X
테르메덴온천,O,
산수유마을,O,
호텔미란다 스파플러스,O,
칠장사,O,
서일농원,O,
애기봉전망대,O,
봉업사지 당간지주와 죽산리 석불입상,X,X
매산리 석불입상,X,X
청룡사,X,6
안성맞춤박물,X,X
