관광지,전체내용
경복궁,대한민국의 역사 : 대한민국의 역사가 잠들어 있는 곳. 서울을 방문했다면 꼭 방문해야 되는 곳. 경복궁은 우리의 역사다. 넓은 경복궁을 산책할 수 있는 것은 언제나 행복이다.
경복궁,국민이 공감하는 장소 : 경복궁은 국민들이 자주 찾는곳으로 작성자는 주말에 자주 가족들과 방문하고 있음.특히 가족들과 방문시 옛고궁의 멋을 즐길수 있으며 쾌적한 공기와역사를 체험하고 힐링할수 있는곳임.
경복궁,산책하기 좋은 경복궁 : 날씨 좋은 날 종종 산책하러 경복궁에 가는데 마음이 편온해지는 기분이라고 할까요? 특히 봄이나 가을에 산책가는 걸 추천해요!
경복궁,Good : Goooooood 다 좋습니다 다음에 또 오고 싶네요 근처 관광지도많고 먹을거리도많네요 서울올때마다 자주이용중인데 또오고싶습니다
경복궁,가족단위로 방문하기 좋은곳 : 요새 더더욱 코로나로 인해 사람 방문이 적음. 두자녀 동반시 성인 입장무료. 지금 시기에 나들이 하기 딱 좋은곳. 지하철 광화문역이나 종각역이용 편리.
경복궁,"하늘이 내린 큰 복 : 조선 개국 4년째인 1395년에 처음으로 세운 으뜸 궁궐이다.'하늘이 내린 큰 복' 이라는 뜻으로 경복궁이라 이름지었다.가장 아름답고 웅장한 이 경복궁은 임진왜란, 일제강점기 2번에 걸쳐 일본의 악랄하고 잔인한 파괴를 당한 악연을 갖고있다.향원정은 보수 공사로 인해 볼 수 없지만 아름다운 경회루만으로도 충분한 경복궁이다."
경복궁,"굿 : 한국 건축물의 아름다움을 느낄 수 있는 곳이고, 한복을 입었을 때 입장료는 무료.주변에 한복 대여점이 많으니 한번쯤 대여해서 입어보는것도 나쁘지 않을듯"
경복궁,"조선의 집 : 조선의 성곽 안에는 박물관도 있고 경회루 등 볼것이 많다. 외국인들 및 연인들도 주변에서 한복 및 특수복장 빌려서 성을 둘러보며 데이트를 즐기기에 딱 좋다. 야간개장도 하니 잘 알아보고 올것 한국사람이라면 한번이상은 꼭와봤고 , 외국인들에게도 좋은 관광지라고 생각한다. 앞에 광화문 광장 청계천 뒤로 삼청동  이주변에 연계된 명소들도 많기 때문에 꼭 추천한다."
경복궁,대표 문화재 : 대부분의 사람들이 여행을 간다면 그 나라의 유서 깊은 궁전을 찾게 된다.한국에서는 그 곳이 바로 경복궁이다.지금의 경복궁은 원래의 것보다 많이 축소되었지만 그래도 깨끗이 잘 정돈되어 있으며 위엄이 있다.
경복궁,경복궁 : 몇번을 가도 감탄하게 되며 산책하기 최고인 경복궁 매번 갈때마다 정교함과 운치에 또한번 반하게 되는곳 주변에 볼거리도 많음
삼청동 거리,기대 이상 만족 : 저번달에 아주 오랜만에 다시 방문. 10년만에 재방문인데 그사이에 카페나 작은 상점 옷가게가 눈에 많이 띄었다. 서울내에 한옥건물 제발 보존 해주세요
삼청동 거리,삼청동길 : 삼청동길 한옥건물들을 볼수있는 거리중 한곳다만 예전에 비해 상권이 많이 없어졌어요..그래도 걸으면서 구경하기에는 좋아요.
삼청동 거리,전통과 현대의 건축양식의 조합이 주는 이색적인 도시 풍경 : 이 곳에서는 기와나 목재 등을 이용해 한국의 전통적인 느낌을 살린 현대식 건물이 많아서 이색적인 도시 풍경을 감상할 수 있다. 걷기만 해도 재미있다.
삼청동 거리,옛 명성은 어디로... : 삼청동 팥죽 맛집 '서울에서 두번째로 맛있는 집'을 찾아 가면서 삼청동 메인거리를 걸으면서 곳곳에 임대 표시가 되어 있는 빈 가게들이 너무 많이 생긴 것을 보고 놀랐다. 이곳도 젠트리피케이션 때문에 자영업자들이 어려움을 겪고 있는 것 같은데 우리나라 대표적인 관광지인 궁 인근에 있어 우리나라 전통 공예품을 판매하는 상가들이 번성하면 좋을텐데... 아쉬움이 너무 컸다.
삼청동 거리,옛날에 비해 많이 변한.. : 예전엔 갈만한 식당과 카페를 줄줄이 알았는데 요즘은 정보가 없다. 그래도 갈때마다 옛 추억때문인지 정겹고 좋았다. 사람이 많이 없어서 여유롭게 가기 좋은 곳.
삼청동 거리,"퇴근 후 데이트코스로 좋은 길 : 퇴근 후 데이트코스로 좋은 길입니다. 비교적 중심부에 위치해 있으며, 저녁에 데이트 목적으로 방문하는 분들이 많습니다. 정독도서관부터 시작해 식사 후 걷기에도 괜찮습니다."
삼청동 거리,봄 가을 방문 강추 : 삼청동길 방문한지 얼마 되지않았어요. 길은 좁고 다니기 불편하지만 한옥들이 몰려있고 한옥카페를 즐길수있어 좋았습니다. 더군다나 루프탑의 카페가 많아 좋았어요. 여유를 제대로 느끼실수있습니다. 그리고 수제비집 유명해요 꼭 방문해서 드셔보시길.. 짱맛
삼청동 거리,"삼청동길 : 외국인이 많이 찾아오는 삼청동길, 주말에는 국내 여행객들까지 있어 걷기 힘들때도 있다. 인기있는 골목길 말고 조용하게 산책할 수 있는 코스도 있으니 잘 찾아보면 좋다."
삼청동 거리,한국적인 분위기가 아름다운곳 : 봄되면 꼭 가는 삼청동. 곳곳에 예쁜 상점들도 있고 맛있는 한식집이 많다. 사진찍기도 좋고 그냥 산책하는 것만으로도 기분 좋은 곳!
삼청동 거리,데이트 장소로 추천 : 데이트 장소로 추천받는 곳들 중 하나로 다양한 볼거리와 음식들이 있는 곳입니다 여기 떡볶이 집이 아주 유명하여 줄을 섭니다
인사동,어제다녀온 인사동 : 코로나때문인지 인사동거리에는 사람의 수는 어느정도 있긴했지만 무척이나 한산했다. 아마도 영업하는 상점들이 많이 문을 닫은것 때문이 아닌가 싶다. 커플이라면 차한잔 마시면서 30~40 분 정도 갈으면서 즐길수 있는 분위기
인사동,전통과 현대미 조화를 이루는 곳 : 오랜만에 방문한 인사동에서 전통도 체험하고 구경도 실컷 했음. 다소 아쉬웠다면 주변에 노점상들이 너무 난잡하게 산재해서 지저분하다는 느낌이 들었고 기념품 판매하는곳에서 많은 기념품들이 중국산이어서 너무 아쉬였음.
인사동,"인사동은 보물 : 인사동하면 전통골목 아니겠습니까 ?전통차, 한정식 골목 등으로 나누어져 즐기기 좋은 장소지요외국인들도 많이 오고 지방에서 서울오면 꼭 보여주고 싶은곳이지요"
인사동,"코로나로 한산한 거리입니다 : 코로나 영향으로 주말인데도 한산합니다.주말에는 차량진입금지 입니다.낮에도 볼거리가있지만 밤에도 화려한곳입니다.다양한 제품과 먹거리 액티비티가 있습니다가족,연인,친구들과 방문해도 좋습니다"
인사동,좋아요 : 프랜차이즈 화장품가게로 가득할거같았는데아직 골목골목은 살아있네요비싸서흠이지만예전인사동으로 부활하길 바래봅니다
인사동,인사동 : 안국역이랑 가까워서 구경도하고 한옥마을이랑도 가깝고 교통이 편리합니다걸어서 구경할데가 많은것같아요주말에는 많이 혼잡하네요
인사동,볼 것 없다. : 먹고 배부르면 쌈지길이나 한바퀴 돌며 소화시킨다.그리고 주변에 뭐 먹잘것도 없는데다가 있어도 비싸기만 할 뿐이다.그냥 중국인들 상대로 장사하세요.
인사동,인사동 : 예전에 비해 관광객이나 현지인이 믾이 줄어든 느낌이 있지만 여전히 정겹고 재미있는 인사동 주차가 협소하니 대중교통 추천합니다
