여행지,주소,행정구역,시군구,분류,트립어드바이저평점,카테고리,최종긍정,최종부정,,,,
63스퀘어,"영등포구 63로 50, 서울",서울시,영등포구,건축물,4,랜드마크,0.79268629,0.207313714,,,,
BIFF 광장,"중구 남포동, 부산",부산광역시,중구,즐길거리 & 랜드마크,4,랜드마크,0.544368811,0.455631196,,,,
SEA LIFE 부산아쿠아리움,"해운대구 해운대해변로 266, 부산",부산광역시,해운대구,수족관,4,랜드마크,0.714060058,0.285939942,,,,
가야산 국립공원,경남 합천군 가야면,경상남도,합천군,국립공원,4.5,공원,0.897052099,0.102947913,,,,
간월재,"울주군 상북면, 울산",울산광역시,울주군,산림,4.5,산,0.802439071,0.197560936,,,,
간절곶,"울주군 서생면 대송리, 울산",울산광역시,울주군,전망대 & 타워,4.5,랜드마크,0.969634277,0.03036573,,,,
감은사지,"55-1, Yongdang-ri, Yangbuk-myeon, 경주",경상북도,경주시,역사적인 장소,4,역사적인 장소,0.789130735,0.210869268,,,,
갑곶돈대,"강화읍 해안동로 1366번길 18, 인천",인천광역시,강화군,역사적인 장소 • 전쟁터 유적지,4.5,역사적인 장소,0.881339538,0.11866046,,,,
갑사,"계룡면 중장리 52, 공주",충청남도,공주시,종교적인 장소,4,종교적인 장소,0.946699363,0.053300642,,,,
강릉선교장,"431 Unjeong-dong, 강릉, 강원",강원도,강릉시,역사적인 장소,4,역사적인 장소,0.692424641,0.307575361,,,,
강진 청자박물관,"대구면 청자촌길 21-11, 강진, 전라남도",전라남도,강진군,전문 박물관,4,박물관,0.755599582,0.24440043,,,,
강천산,"군 팔덕면 강천산길 270 일대, 순창",전라북도,순창군,공원,4.5,공원,0.936779425,0.063220586,,,,
강촌,"신동면 증리 323-2, 춘천, 강원도",강원도,춘천시,놀이공원 & 테마파크,4.5,랜드마크,0.938287386,0.061712618,,,,
강화 풍물시장,"강화군 강화읍 중앙로 17-9, 인천",인천광역시,강화군,벼룩시장 & 재래시장,3.5,랜드마크,0.942917705,0.05708231,,,,
강화역사박물관,"하점면 강화대로 994-19, 인천",인천광역시,강화군,역사박물관,4.5,박물관,0.782250551,0.217749447,,,,
개실마을,"쌍림면 개실1길 29, 고령",경상북도,고령군,역사적인 장소 • 즐길거리 & 랜드마크,5,역사적인 장소,0.820516468,0.179483563,,,,
개심사,"동구 판암로 128-269, 서산",충청남도,서산시,종교적인 장소,4,종교적인 장소,0.886109658,0.113890316,,,,
개암사,"개암사 248 개암로, 부안, 전라북도",전라북도,부안군,종교적인 장소,4,종교적인 장소,0.824559875,0.175440134,,,,
거북선모형관,"중앙동 236, 통영",전라남도,여수시,즐길거리 & 랜드마크,3.5,랜드마크,0.623876637,0.376123368,,,,
거제 포로수용소 유적공원,"계룡로61, 거제, 경상남도",경상남도,거제시,군사 박물관 • 즐길거리 & 랜드마크,4,공원,0.651641529,0.348358482,,,,
건봉사,"거진읍 건봉사로 723, 고성",강원도,고성군,역사적인 장소 • 종교적인 장소 • 경관이 좋은 산책로,4,역사적인 장소,0.906681478,0.093318517,,,,
검룡소,"창죽동, 태백, 강원도",강원도,태백시,물길,4.5,자연 경관,0.929653708,0.070346292,,,,
경교장,"종로구 새문안로 29, 서울",서울시,종로구,역사적인 장소 • 건축물,4,역사적인 장소,0.902907461,0.097092534,,,,
경기도립 물향기수목원,"청학로 211, 오산, 경기도, 대한민국",경기도,오산시,자연 & 야생동물 서식지,4.5,공원,0.91179734,0.088202672,,,,
경기전,"완산구 한지길 102, 전주",전라북도,전주시,역사적인 장소,4,역사적인 장소,0.694777223,0.305222786,,,,
경복궁,서울특별시 종로구 사직로 161,서울시,종로구,역사적인 장소 • 역사박물관,4.5,역사적인 장소,0.909808168,0.09019183,,,,
경상남도수목원,"이반성면 수목원로 386, 진주",경상남도,창원시,공원 • 산림,4.5,공원,0.861435395,0.138564599,,,,
경상북도 수목원,"북구 죽장면 수목원로 647, 포항",경상북도,포항시,공원 • 가든,4,자연 경관,0.842185821,0.157814183,,,,
경안천 습지생태공원,"퇴촌면 정지리 447, 광주",경기도,광주시,물길 • 자연 & 야생동물 서식지 • 공원,X,공원,0.815357703,0.184642293,,,,
경천대,"사벌면 경천로 652, 상주",경상북도,상주시,즐길거리 & 랜드마크,4,랜드마크,0.781585833,0.218414178,,,,
계룡산 국립공원,"계룡면 공주, 충청남도",충청남도,공주시,국립공원,4.5,공원,0.835568708,0.164431293,,,,
계림,"1, Gyo-dong, 경주, 경상북도, 대한민국",경상북도,경주시,유서 깊은 산책로,4,자연 경관,0.889224599,0.11077541,,,,
