여행지,주소,행정구역,시군구,분류,트립어드바이저평점
경복궁,서울특별시 종로구 사직로 161,서울시,종로구,역사적인 장소 • 역사박물관,4.5
삼청동길,"107 종로구 삼청동, 서울",서울시,종로구,즐길거리 & 랜드마크,4.5
인사동길,"종로구 인사동, 서울",서울시,종로구,인근 지역 • 즐길거리 & 랜드마크,4
조계사,"종로구 견지동 45번지, 서울",서울시,종로구,종교적인 장소 • 기념비 및 동상,4.5
청와대,"종로구 청와대로 1, 서울",서울시,종로구,공공기관 건물,4
보신각,"종로구 종로 54, 서울",서울시,종로구,역사적인 장소 • 즐길거리 & 랜드마크,4
국립민속박물관,"종로구 삼청로 37 , 서울",서울시,종로구,전문 박물관 • 아트뮤지엄,4.5
사직단,서울 종로구 사직동 1-28번지,서울시,종로구,공원,4
경교장,"종로구 새문안로 29, 서울",서울시,종로구,역사적인 장소 • 건축물,4
탑골공원,"종로구 종로2가, 서울",서울시,종로구,공원,3.5
인왕산 선바위와 국사당,"종로구, 서울",서울시,종로구,산,4.5
종묘,"종로구 종로 157, 서울",서울시,종로구,역사적인 장소 • 즐길거리 & 랜드마크 • 종교적인 장소,4
서울역사박물관,"종로구 신문로2가 2-1, 서울",서울시,종로구,역사박물관,4.5
창경궁,"종로구 창경궁로 185, 서울",서울시,종로구,즐길거리 & 랜드마크 • 유서 깊은 산책로,4.5
창덕궁,"종로구 율곡로 99, 서울",서울시,종로구,역사적인 장소 • 건축물 • 가든,4.5
북촌한옥마을,"종로구 계동길 37, 서울",서울시,종로구,인근 지역 • 즐길거리 & 랜드마크,4
동대문시장,"중구, 서울",서울시,중구,특산물 & 기념품 가게 • 벼룩시장 & 재래시장,4
운현궁,"종로구 삼일대로 464, 서울",서울시,종로구,역사적인 장소 • 즐길거리 & 랜드마크,4
낙산공원,"종로구 동숭동 산2-10, 서울",서울시,종로구,공원,4.5
명동성당,"중구 명동길 74, 서울, 대한민국",서울시,중구,종교적인 장소 • 교회 & 성당,4.5
청계천,서울 종로구 창신동,서울시,종로구,물길 • 유서 깊은 산책로,4.5
덕수궁,"중구 세종대로 99, 서울",서울시,중구,역사적인 장소 • 즐길거리 & 랜드마크 • 건축물,4
남대문시장,"중구 남대문시장4길 21, 서울",서울시,중구,벼룩시장 & 재래시장,4
서울광장,"중구 태평로1가, 서울",서울시,중구,즐길거리 & 랜드마크,4
한국은행 화폐금융박물관,"중구 남대문로 39, 서울",서울시,중구,전문 박물관,4
숭례문,"중구 세종대로 40, 서울",서울시,중구,역사적인 장소 • 즐길거리 & 랜드마크,4
농업박물관,"중구 충정로1가 75, 서울",서울시,중구,역사박물관,4.5
남산골 한옥마을,"중구 퇴계로34길 28, 서울",서울시,중구,역사적인 장소,4
명동,"중구 마른내로 71, 서울",서울시,중구,인근 지역 • 즐길거리 & 랜드마크,4.5
남산과 N서울타워,"용산구 남산공원길 105, 서울, 대한민국",서울시,용산구,즐길거리 & 랜드마크 • 전망대 • 전망대 & 타워,4
삼성미술관 리움,"용산구 이태원로55길 60-16, 서울",서울시,용산구,아트뮤지엄,4.5
국립중앙박물관,"용산구 서빙고로 137, 서울",서울시,용산구,역사박물관,4.5
